"","caseid","age","earnings","scores_cognitive_skill","meduc","feduc","faminc79","numsibs","tuit4","school","yob"
"3332",833,29,27409.0078125,-0.734059870243073,4,4,0.571699976921082,3,0.198321178555489,0,1964
"3333",834,26,43207.11328125,-0.429393589496613,4,4,0.5,2,0.207126706838608,0,1960
"3334",834,27,45196.44921875,-0.429393589496613,4,4,0.5,2,0.207126706838608,0,1960
"3335",834,28,40757.3984375,-0.429393589496613,4,4,0.5,2,0.207126706838608,0,1960
"3336",834,29,39439.359375,-0.429393589496613,4,4,0.5,2,0.207126706838608,0,1960
"3337",835,26,46406.171875,0.664661288261414,5,4,1.20089995861053,1,0.0944917500019073,0,1958
"3338",835,27,48011.1328125,0.664661288261414,5,4,1.20089995861053,1,0.0944917500019073,0,1958
"3339",835,28,47449.25,0.664661288261414,5,4,1.20089995861053,1,0.0944917500019073,0,1958
"3340",835,29,48507.02734375,0.664661288261414,5,4,1.20089995861053,1,0.0944917500019073,0,1958
"3341",836,26,25365.8984375,-0.812040090560913,3,3,0.632000029087067,4,0.41228187084198,0,1959
"3342",836,27,25138.681640625,-0.812040090560913,3,3,0.632000029087067,4,0.41228187084198,0,1959
"3343",836,28,24253.525390625,-0.812040090560913,3,3,0.632000029087067,4,0.41228187084198,0,1959
"3344",836,29,34934.90234375,-0.812040090560913,3,3,0.632000029087067,4,0.41228187084198,0,1959
"3345",837,26,43992.70703125,-0.584702551364899,4,4,0.400000005960464,1,0.151834726333618,0,1960
"3346",837,27,37896.13671875,-0.584702551364899,4,4,0.400000005960464,1,0.151834726333618,0,1960
"3347",837,28,43668.6328125,-0.584702551364899,4,4,0.400000005960464,1,0.151834726333618,0,1960
"3348",837,29,40272.57421875,-0.584702551364899,4,4,0.400000005960464,1,0.151834726333618,0,1960
"3349",838,26,40605.390625,-1.98088574409485,3,1,0.549600005149841,2,0.148240283131599,0,1958
"3350",838,27,40009.27734375,-1.98088574409485,3,1,0.549600005149841,2,0.148240283131599,0,1958
"3351",838,28,36136.85546875,-1.98088574409485,3,1,0.549600005149841,2,0.148240283131599,0,1958
"3352",838,29,33348.6015625,-1.98088574409485,3,1,0.549600005149841,2,0.148240283131599,0,1958
"3353",839,26,39279.19140625,-0.334840714931488,4,3,0.690400004386902,3,0.280831873416901,0,1960
"3354",839,27,51538.7421875,-0.334840714931488,4,3,0.690400004386902,3,0.280831873416901,0,1960
"3355",839,28,46579.89453125,-0.334840714931488,4,3,0.690400004386902,3,0.280831873416901,0,1960
"3356",839,29,44438.70703125,-0.334840714931488,4,3,0.690400004386902,3,0.280831873416901,0,1960
"3357",840,26,29832.517578125,0.231457531452179,4,4,0.634700000286102,3,0.285886615514755,0,1958
"3358",840,27,38408.90234375,0.231457531452179,4,4,0.634700000286102,3,0.285886615514755,0,1958
"3359",840,28,33937.23828125,0.231457531452179,4,4,0.634700000286102,3,0.285886615514755,0,1958
"3360",840,29,27589.884765625,0.231457531452179,4,4,0.634700000286102,3,0.285886615514755,0,1958
"3361",841,26,29391.556640625,0.309906363487244,2,4,0.579999983310699,2,0.204164996743202,0,1957
"3362",841,27,62979.8125,0.309906363487244,2,4,0.579999983310699,2,0.204164996743202,0,1957
"3363",841,28,73617.1015625,0.309906363487244,2,4,0.579999983310699,2,0.204164996743202,0,1957
"3364",841,29,76987.2578125,0.309906363487244,2,4,0.579999983310699,2,0.204164996743202,0,1957
"3365",842,26,17604.08984375,-2.42492985725403,3,4,1.65222442150116,10,0.323329597711563,0,1959
"3366",842,27,25138.681640625,-2.42492985725403,3,4,1.65222442150116,10,0.323329597711563,0,1959
"3367",842,28,27285.203125,-2.42492985725403,3,4,1.65222442150116,10,0.323329597711563,0,1959
"3368",842,29,23289.935546875,-2.42492985725403,3,4,1.65222442150116,10,0.323329597711563,0,1959
"3369",843,26,39765.0625,0.63047069311142,4,2,0.620000004768372,5,0.198231995105743,0,1957
"3370",843,27,46406.171875,0.63047069311142,4,2,0.620000004768372,5,0.198231995105743,0,1957
"3371",843,28,46410.7734375,0.63047069311142,4,2,0.620000004768372,5,0.198231995105743,0,1957
"3372",843,29,47135.03515625,0.63047069311142,4,2,0.620000004768372,5,0.198231995105743,0,1957
"3373",844,26,7780.1171875,0.852013409137726,4,4,0.680000007152557,2,0.199976995587349,1,1957
"3374",844,27,23700.279296875,0.852013409137726,4,4,0.680000007152557,2,0.199976995587349,1,1957
"3375",844,28,27206.318359375,0.852013409137726,4,4,0.680000007152557,2,0.199976995587349,1,1957
"3376",844,29,9427.005859375,0.852013409137726,4,4,0.680000007152557,2,0.199976995587349,1,1957
"3377",845,26,19204.4609375,0.29331049323082,7,4,0.5,2,0.283233493566513,0,1959
"3378",845,27,32994.515625,0.29331049323082,7,4,0.5,2,0.283233493566513,0,1959
"3379",845,28,30316.908203125,0.29331049323082,7,4,0.5,2,0.283233493566513,0,1959
"3380",845,29,32023.6640625,0.29331049323082,7,4,0.5,2,0.283233493566513,0,1959
"3381",846,26,40009.27734375,0.71227490901947,4,3,0.600000023841858,2,0.395881354808807,0,1959
"3382",846,27,31423.353515625,0.71227490901947,4,3,0.600000023841858,2,0.395881354808807,0,1959
"3383",846,28,45475.36328125,0.71227490901947,4,3,0.600000023841858,2,0.395881354808807,0,1959
"3384",846,29,50946.75,0.71227490901947,4,3,0.600000023841858,2,0.395881354808807,0,1959
"3385",847,26,35208.1640625,-0.13307549059391,4,4,0.962999999523163,4,0.340663731098175,1,1959
"3386",847,27,65989.0625,-0.13307549059391,4,4,0.962999999523163,4,0.340663731098175,1,1959
"3387",847,28,97014.1015625,-0.13307549059391,4,4,0.962999999523163,4,0.340663731098175,1,1959
"3388",847,29,58224.8671875,-0.13307549059391,4,4,0.962999999523163,4,0.340663731098175,1,1959
"3389",848,26,28281.03125,1.11661684513092,2,4,0.305000007152557,2,0.278785675764084,0,1960
"3390",848,27,27285.203125,1.11661684513092,2,4,0.305000007152557,2,0.278785675764084,0,1960
"3391",848,28,30568.03515625,1.11661684513092,2,4,0.305000007152557,2,0.278785675764084,0,1960
"3392",848,29,34717.7578125,1.11661684513092,2,4,0.305000007152557,2,0.278785675764084,0,1960
"3393",849,26,58007.71875,-0.189747974276543,4,4,0.5,1,0.152822569012642,0,1958
"3394",849,27,48011.1328125,-0.189747974276543,4,4,0.5,1,0.152822569012642,0,1958
"3395",849,28,67560.1953125,-0.189747974276543,4,4,0.5,1,0.152822569012642,0,1958
"3396",849,29,53054.55859375,-0.189747974276543,4,4,0.5,1,0.152822569012642,0,1958
"3397",850,26,19888.36328125,0.312467336654663,4,4,0.559000015258789,2,0.228955030441284,0,1958
"3398",850,27,31997.8359375,0.312467336654663,4,4,0.559000015258789,2,0.228955030441284,0,1958
"3399",850,28,40850.36328125,0.312467336654663,4,4,0.559000015258789,2,0.228955030441284,0,1958
"3400",850,29,48507.02734375,0.312467336654663,4,4,0.559000015258789,2,0.228955030441284,0,1958
"3401",851,26,26884.63671875,-0.021713038906455,4,4,0.600000023841858,6,0.272219985723495,0,1957
"3402",851,27,32815.76953125,-0.021713038906455,4,4,0.600000023841858,6,0.272219985723495,0,1957
"3403",851,28,31687.361328125,-0.021713038906455,4,4,0.600000023841858,6,0.272219985723495,0,1957
"3404",851,29,40850.36328125,-0.021713038906455,4,4,0.600000023841858,6,0.272219985723495,0,1957
"3405",852,26,38290.296875,-0.275570154190063,4,4,0.954999983310699,4,0.219870001077652,0,1957
"3406",852,27,38119.34375,-0.275570154190063,4,4,0.954999983310699,4,0.219870001077652,0,1957
"3407",852,28,44650.390625,-0.275570154190063,4,4,0.954999983310699,4,0.219870001077652,0,1957
"3408",852,29,43992.70703125,-0.275570154190063,4,4,0.954999983310699,4,0.219870001077652,0,1957
"3409",853,26,32007.451171875,0.311070770025253,4,4,1.79212915897369,3,0.481666266918182,0,1959
"3410",853,27,35351.2890625,0.311070770025253,4,4,1.79212915897369,3,0.481666266918182,0,1959
"3411",853,28,37896.13671875,0.311070770025253,4,4,1.79212915897369,3,0.481666266918182,0,1959
"3412",853,29,36827.2109375,0.311070770025253,4,4,1.79212915897369,3,0.481666266918182,0,1959
"3413",854,26,49720.88671875,-2.57217645645142,1,1,1.50300002098083,2,0.0190018191933632,0,1958
"3414",854,27,48011.1328125,-2.57217645645142,1,1,1.50300002098083,2,0.0190018191933632,0,1958
"3415",854,28,50277.38671875,-2.57217645645142,1,1,1.50300002098083,2,0.0190018191933632,0,1958
"3416",854,29,53054.55859375,-2.57217645645142,1,1,1.50300002098083,2,0.0190018191933632,0,1958
"3417",855,26,25032.890625,0.326832145452499,4,4,2.40000009536743,1,0.209055006504059,1,1964
"3418",855,27,18964.763671875,0.326832145452499,4,4,2.40000009536743,1,0.209055006504059,1,1964
"3419",855,28,13501.064453125,0.326832145452499,4,4,2.40000009536743,1,0.209055006504059,1,1964
"3420",855,29,16683.740234375,0.326832145452499,4,4,2.40000009536743,1,0.209055006504059,1,1964
"3421",856,26,42160.68359375,-1.07880616188049,3,4,2,3,0.209055006504059,0,1964
"3422",856,27,40458.16015625,-1.07880616188049,3,4,2,3,0.209055006504059,0,1964
"3423",856,28,46640.03515625,-1.07880616188049,3,4,2,3,0.209055006504059,0,1964
"3424",856,29,47667.81640625,-1.07880616188049,3,4,2,3,0.209055006504059,0,1964
"3425",857,26,33479.28125,-0.764373362064362,4,2,1.79999995231628,2,0.24932399392128,0,1962
"3426",857,27,16664.515625,-0.764373362064362,4,2,1.79999995231628,2,0.24932399392128,0,1962
"3427",857,28,10540.169921875,-0.764373362064362,4,2,1.79999995231628,2,0.24932399392128,0,1962
"3428",857,29,18964.763671875,-0.764373362064362,4,2,1.79999995231628,2,0.24932399392128,0,1962
"3429",858,26,52700.8515625,0.03377990052104,4,2,1.79999995231628,2,0.247427001595497,1,1964
"3430",858,27,53101.328125,0.03377990052104,4,2,1.79999995231628,2,0.247427001595497,1,1964
"3431",858,28,58913.73828125,0.03377990052104,4,2,1.79999995231628,2,0.247427001595497,1,1964
"3432",858,29,53626.31640625,0.03377990052104,4,2,1.79999995231628,2,0.247427001595497,1,1964
"3433",859,26,18747.58984375,0.324911266565323,4,4,2,1,0.181829988956451,1,1963
"3434",859,27,18445.287109375,0.324911266565323,4,4,2,1,0.181829988956451,1,1963
"3435",859,28,29079.2890625,0.324911266565323,4,4,2,1,0.181829988956451,1,1963
"3436",859,29,30684.251953125,0.324911266565323,4,4,2,1,0.181829988956451,1,1963
"3437",860,26,27285.203125,0.087505467236042,6,8,3,3,0.276510387659073,1,1961
"3438",860,27,53857.984375,0.087505467236042,6,8,3,3,0.276510387659073,1,1961
"3439",860,28,56937.08984375,0.087505467236042,6,8,3,3,0.276510387659073,1,1961
"3440",860,29,56653.37890625,0.087505467236042,6,8,3,3,0.276510387659073,1,1961
"3441",861,26,38883.86328125,-0.888984858989716,4,8,3,3,0.23658798635006,0,1963
"3442",861,27,35573.078125,-0.888984858989716,4,8,3,3,0.23658798635006,0,1963
"3443",861,28,39193.83984375,-0.888984858989716,4,8,3,3,0.23658798635006,0,1963
"3444",861,29,36821.1015625,-0.888984858989716,4,8,3,3,0.23658798635006,0,1963
"3445",862,26,43091.43359375,0.509858369827271,8,8,1.60000002384186,3,0.149883136153221,0,1958
"3446",862,27,52812.24609375,0.509858369827271,8,8,1.60000002384186,3,0.149883136153221,0,1958
"3447",862,28,54990.8828125,0.509858369827271,8,8,1.60000002384186,3,0.149883136153221,0,1958
"3448",862,29,46991.1796875,0.509858369827271,8,8,1.60000002384186,3,0.149883136153221,0,1958
"3449",863,26,16664.515625,0.0740230903029442,4,4,1.79999995231628,2,0.121548779308796,0,1963
"3450",863,27,11857.6865234375,0.0740230903029442,4,4,1.79999995231628,2,0.121548779308796,0,1963
"3451",863,28,12011.015625,0.0740230903029442,4,4,1.79999995231628,2,0.121548779308796,0,1963
"3452",863,29,24547.400390625,0.0740230903029442,4,4,1.79999995231628,2,0.121548779308796,0,1963
"3453",864,26,24996.7734375,-0.781084358692169,4,5,1.5,2,0.121548779308796,0,1963
"3454",864,27,13175.212890625,-0.781084358692169,4,5,1.5,2,0.121548779308796,0,1963
"3455",864,28,12643.1767578125,-0.781084358692169,4,5,1.5,2,0.121548779308796,0,1963
"3456",864,29,14728.4345703125,-0.781084358692169,4,5,1.5,2,0.121548779308796,0,1963
"3457",865,26,6081.4150390625,0.347025871276855,4,3,1.39999997615814,0,0.266502410173416,0,1959
"3458",865,27,8955.6552734375,0.347025871276855,4,3,1.39999997615814,0,0.266502410173416,0,1959
"3459",865,28,7276.0576171875,0.347025871276855,4,3,1.39999997615814,0,0.266502410173416,0,1959
"3460",865,29,6388.71826171875,0.347025871276855,4,3,1.39999997615814,0,0.266502410173416,0,1959
"3461",866,26,29862.1484375,-0.684551119804382,6,6,2.46124267578125,2,0.111267916858196,0,1961
"3462",866,27,24745.568359375,-0.684551119804382,6,6,2.46124267578125,2,0.111267916858196,0,1961
"3463",866,28,36106.4375,-0.684551119804382,6,6,2.46124267578125,2,0.111267916858196,0,1961
"3464",866,29,31620.49609375,-0.684551119804382,6,6,2.46124267578125,2,0.111267916858196,0,1961
"3465",867,26,17127.779296875,-0.126034244894981,6,6,2,2,0.0717474669218063,1,1964
"3466",867,27,19312.455078125,-0.126034244894981,6,6,2,2,0.0717474669218063,1,1964
"3467",867,28,18927.271484375,-0.126034244894981,6,6,2,2,0.0717474669218063,1,1964
"3468",867,29,18352.115234375,-0.126034244894981,6,6,2,2,0.0717474669218063,1,1964
"3469",868,26,7545.94287109375,1.2985600233078,6,6,1.20000004768372,0,0.0839807689189911,1,1962
"3470",868,27,22219.361328125,1.2985600233078,6,6,1.20000004768372,0,0.0839807689189911,1,1962
"3471",868,28,55994.62890625,1.2985600233078,6,6,1.20000004768372,0,0.0839807689189911,1,1962
"3472",868,29,66376.6640625,1.2985600233078,6,6,1.20000004768372,0,0.0839807689189911,1,1962
"3473",869,26,25520.779296875,-0.549063920974731,4,4,1.79212915897369,4,0.270947813987732,0,1961
"3474",869,27,36390.52734375,-0.549063920974731,4,4,1.79212915897369,4,0.270947813987732,0,1961
"3475",869,28,24996.7734375,-0.549063920974731,4,4,1.79212915897369,4,0.270947813987732,0,1961
"3476",869,29,26613.927734375,-0.549063920974731,4,4,1.79212915897369,4,0.270947813987732,0,1961
"3477",870,26,46991.1796875,0.533232629299164,4,4,2.5,6,0.256214499473572,0,1961
"3478",870,27,53130.19921875,0.533232629299164,4,4,2.5,6,0.256214499473572,0,1961
"3479",870,28,59714.53125,0.533232629299164,4,4,2.5,6,0.256214499473572,0,1961
"3480",870,29,44795.703125,0.533232629299164,4,4,2.5,6,0.256214499473572,0,1961
"3481",871,26,32023.6640625,0.727692604064941,4,4,2.5,6,0.238934308290482,0,1962
