"caseid","xsa","xsb","xsb2","xsbc","xsbc2","xsc","za","zb","zc","zd","ze","zf","zg","school"
132,4.0,38.0,366.0,54.0,734.0,11.982929094215963,1.0,9.502136844295444,10.596634733096073,1.0,1.0728785991668701,4.0,7.0,1.0
133,4.0,22.0,126.0,6.0,14.0,11.589886523766994,1.0,9.413868788906736,10.203592162647103,3.0,-1.26736831665039,5.0,3.0,0.0
134,4.0,22.0,126.0,6.0,14.0,11.181639764333976,1.0,9.424289779281876,9.795345403214085,1.0,0.175555482506752,5.0,4.0,0.0
135,4.0,22.0,126.0,6.0,14.0,11.84939770159144,1.0,9.424289779281876,10.46310334047155,4.0,-1.45078718662262,4.0,4.0,0.0
136,4.0,22.0,126.0,6.0,14.0,11.84939770159144,1.0,9.43393145401584,10.46310334047155,4.0,0.42820543050766,3.0,4.0,0.0
137,4.0,22.0,126.0,6.0,14.0,12.542544882151386,1.0,9.526866561390248,11.156250521031495,3.0,-0.532553672790527,6.0,7.0,0.0
138,4.0,38.0,366.0,54.0,734.0,12.542544882151386,1.0,9.402902652791338,11.156250521031495,3.0,-0.588242650032043,4.0,7.0,1.0
139,4.0,22.0,126.0,6.0,14.0,11.813351499960818,1.0,9.526866561390248,10.427057138840928,1.0,0.309080481529236,4.0,7.0,0.0
140,4.0,38.0,366.0,54.0,734.0,11.982929094215963,1.0,9.437579234312224,10.596634733096073,4.0,0.666752398014069,7.0,8.0,1.0
141,4.0,38.0,366.0,54.0,734.0,11.982929094215963,1.0,9.428038892501151,10.596634733096073,4.0,1.20179271697998,7.0,8.0,1.0
142,4.0,38.0,366.0,54.0,734.0,12.206072645530174,1.0,9.437953922253227,10.819778284410283,6.0,0.847302138805389,7.0,7.0,1.0
143,4.0,38.0,366.0,54.0,734.0,12.16525064107581,1.0,9.437579234312224,10.778956279955919,6.0,0.0768994614481926,7.0,7.0,1.0
144,4.0,22.0,126.0,6.0,14.0,11.39639165942972,1.0,9.510899750399151,10.010097298309828,3.0,-1.04129266738892,6.0,6.0,0.0
145,4.0,22.0,126.0,6.0,14.0,10.964882450780852,1.0,9.424289779281876,9.578588089660961,4.0,-0.0820936262607574,4.0,6.0,0.0
146,4.0,38.0,366.0,54.0,734.0,11.84939770159144,1.0,9.402902652791338,10.46310334047155,1.0,0.625727534294128,5.0,7.0,1.0
147,4.0,38.0,366.0,54.0,734.0,12.676076274775909,1.0,9.402004543249769,11.289781913656018,2.0,1.1527510881424,6.0,7.0,1.0
148,4.0,22.0,126.0,6.0,14.0,11.589886523766994,1.0,9.402004543249769,10.203592162647103,3.0,-0.657275021076202,4.0,4.0,0.0
149,4.0,38.0,366.0,54.0,734.0,11.589886523766994,1.0,9.378964370021677,10.203592162647103,3.0,1.09073901176453,4.0,4.0,1.0
150,4.0,22.0,126.0,6.0,14.0,11.589886523766994,1.0,9.327059720428169,10.203592162647103,3.0,-2.56839156150818,4.0,4.0,0.0
151,4.0,22.0,126.0,6.0,14.0,11.728036813823486,1.0,9.338135338283877,10.341742452703595,6.0,-0.0188131295144558,3.0,3.0,0.0
152,4.0,38.0,366.0,54.0,734.0,11.753966520443834,1.0,9.341017690199195,10.367672159323943,2.0,1.10717046260834,4.0,6.0,1.0
153,4.0,22.0,126.0,6.0,14.0,11.820410192767433,1.0,9.378964370021677,10.434115831647542,2.0,-0.267782956361771,1.0,1.0,0.0
154,4.0,22.0,126.0,6.0,14.0,11.84939770159144,1.0,9.397813752788398,10.46310334047155,6.0,-1.45327508449554,4.0,4.0,0.0
155,4.0,38.0,366.0,54.0,734.0,11.06663837724297,1.0,9.530324315929636,9.68034401612308,0.0,1.59402644634247,4.0,4.0,1.0
156,4.0,38.0,366.0,54.0,734.0,11.695247021764184,1.0,9.51420828305853,10.308952660644293,1.0,-0.0598060972988605,4.0,4.0,1.0
157,4.0,38.0,366.0,54.0,734.0,11.695247021764184,1.0,9.434459437616944,10.308952660644293,1.0,0.660903632640839,4.0,4.0,1.0
158,4.0,22.0,126.0,6.0,14.0,11.84939770159144,1.0,9.51420828305853,10.46310334047155,2.0,-0.159781903028488,4.0,4.0,0.0
159,4.0,38.0,366.0,54.0,734.0,12.736712677205684,1.0,9.434459437616944,11.350418316085793,3.0,1.04705119132996,6.0,7.0,1.0
160,4.0,22.0,126.0,6.0,14.0,11.512925464970229,1.0,9.432832518507258,10.126631103850338,7.0,-1.68682157993317,4.0,3.0,0.0
161,4.0,22.0,126.0,6.0,14.0,11.695247021764184,1.0,9.44404238121819,10.308952660644293,6.0,-0.374292373657227,2.0,3.0,0.0
162,4.0,22.0,126.0,6.0,14.0,12.055249744706353,1.0,9.44404238121819,10.668955383586463,4.0,-0.187844127416611,4.0,4.0,0.0
